Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region,Sales Growth Rate,Moving Average Sales
,34,-0.034463806,3534,35000,1,1,5000.56,CUST00001,1699,0.0,3534.0
2019-01-01,83,0.034463806,80,35,1,1,5000.56,CUST00002,1357,-0.9773627617430674,1807.0
2019-01-01,84,0.034463806,70,35,1,1,5000.56,CUST00003,1756,-0.125,1228.0
2019-01-01,85,0.034463806,70,35,1,1,5000.56,CUST00004,668,0.0,938.5
2019-01-01,82,0.034463806,68,35,1,1,5000.56,CUST00005,226,-0.02857142857142858,764.4
2019-01-01,86,0.034463806,61,35,1,1,5000.56,CUST00006,2031,-0.1029411764705882,647.1666666666666
2019-01-02,81,0.038629891,51,35,1,1,5000.56,CUST00007,1110,-0.16393442622950816,562.0
2019-01-02,83,0.038629891,68,35,1,1,5000.56,CUST00008,1901,0.33333333333333326,66.85714285714286
2019-01-02,84,0.038629891,85,35,1,1,5000.56,CUST00009,1275,0.25,67.57142857142857
2019-01-02,85,0.038629891,64,35,1,1,5000.56,CUST00010,1813,-0.24705882352941178,66.71428571428571
2019-01-02,82,0.038629891,75,35,1,1,5000.56,CUST00011,626,0.171875,67.42857142857143
2019-01-02,86,0.038629891,79,35,1,1,5000.56,CUST00012,1636,0.05333333333333323,69.0
2019-01-03,81,0.025637758,62,35,1,1,5000.56,CUST00013,1495,-0.21518987341772156,69.14285714285714
2019-01-03,83,0.025637758,85,35,1,1,5000.56,CUST00014,394,0.37096774193548376,74.0
2019-01-03,84,0.025637758,53,35,1,1,5000.56,CUST00015,444,-0.3764705882352941,71.85714285714286
2019-01-03,87,0.025637758,62,35,1,1,5000.56,CUST00016,697,0.16981132075471694,68.57142857142857
2019-01-03,82,0.025637758,58,35,1,1,5000.56,CUST00017,484,-0.06451612903225812,67.71428571428571
2019-01-03,86,0.025637758,66,35,1,1,5000.56,CUST00018,1354,0.13793103448275867,66.42857142857143
2019-01-04,81,0.028812108,3562,35000,1,1,5000.56,CUST00019,522,52.96969696969697,564.0
2019-01-04,83,0.028812108,80,35,1,1,5000.56,CUST00020,2014,-0.9775407074677148,566.5714285714286
2019-01-04,84,-0.028812108,56,35,1,1,5000.56,CUST00021,1992,-0.30000000000000004,562.4285714285714
2019-01-04,85,0.028812108,60,35,1,1,5000.56,CUST00022,1628,0.0714285714285714,563.4285714285714
2019-01-04,5,0.028812108,58,35,1,1,5000.56,CUST00023,1882,-0.033333333333333326,562.8571428571429
2019-01-04,86,0.028812108,62,35,1,1,5000.56,CUST00024,1397,0.06896551724137923,563.4285714285714
2019-01-05,81,0.03216967,78,35,1,1,5000.56,CUST00025,1006,0.25806451612903225,565.1428571428571
